image_id,xmin,ymin,width,height,centerx,centery
377000_6460000,873.0,145.0,30,30,888,160
377000_6460000,681.0,947.0,30,30,696,962
377000_6460000,575.0,788.0,30,30,590,803
377000_6460000,871.0,157.0,30,30,886,172
377000_6460000,790.0,306.0,30,30,805,321
377000_6460000,773.0,300.0,30,30,788,315
377000_6460000,624.0,851.0,30,30,639,866
377000_6460000,807.0,312.0,30,30,822,327
377000_6460000,813.0,314.0,30,30,828,329
377000_6460000,971.0,939.0,28.0,30,986,954
377000_6460000,52.0,448.0,30,30,67,463
377000_6460000,254.0,346.0,30,30,269,361
377000_6460000,357.0,322.0,30,30,372,337
377000_6460000,946.0,939.0,30,30,961,954
377000_6460000,609.0,828.0,30,30,624,843
377000_6460000,664.0,284.0,30,30,679,299
377000_6460000,838.0,324.0,30,30,853,339
377000_6460000,855.0,141.0,30,30,870,156
377000_6460000,865.0,151.0,30,30,880,166
377000_6460000,344.0,260.0,30,30,359,275
377000_6460000,338.0,216.0,30,30,353,231
377000_6460000,831.0,188.0,30,30,846,203
377000_6460000,203.0,392.0,30,30,218,407
377000_6460000,733.0,254.0,30,30,748,269
377000_6467000,46.0,161.0,30,30,61,176
377000_6467000,65.0,153.0,30,30,80,168
377000_6467000,0.0,142.0,25.0,30,10,157
377000_6467000,246.0,615.0,30,30,261,630
377000_6467000,50.0,618.0,30,30,65,633
377000_6467000,13.0,178.0,30,30,28,193
377000_6467000,175.0,506.0,30,30,190,521
378000_6458000,124.0,170.0,30,30,139,185
378000_6458000,119.0,179.0,30,30,134,194
378000_6458000,97.0,255.0,30,30,112,270
378000_6458000,812.0,773.0,30,30,827,788
378000_6458000,798.0,481.0,30,30,813,496
378000_6458000,911.0,309.0,30,30,926,324
378000_6458000,941.0,879.0,30,30,956,894
378000_6458000,65.0,98.0,30,30,80,113
378000_6458000,681.0,674.0,30,30,696,689
378000_6458000,566.0,622.0,30,30,581,637
378000_6458000,702.0,804.0,30,30,717,819
378000_6458000,788.0,749.0,30,30,803,764
378000_6458000,27.0,409.0,30,30,42,424
378000_6458000,14.0,383.0,30,30,29,398
378000_6458000,462.0,323.0,30,30,477,338
378000_6458000,19.0,936.0,30,30,34,951
378000_6458000,342.0,415.0,30,30,357,430
378000_6458000,447.0,533.0,30,30,462,548
378000_6458000,328.0,407.0,30,30,343,422
378000_6458000,281.0,334.0,30,30,296,349
378000_6458000,332.0,410.0,30,30,347,425
378000_6458000,0.0,913.0,18.0,30,3,928
378000_6458000,799.0,476.0,30,30,814,491
378000_6458000,159.0,235.0,30,30,174,250
379000_6462000,264.0,5.0,30,30,279,20
379000_6478000,803.0,661.0,30,30,818,676
379000_6478000,709.0,720.0,30,30,724,735
379000_6479000,457.0,785.0,30,30,472,800
379000_6479000,373.0,837.0,30,30,388,852
379000_6479000,474.0,781.0,30,30,489,796
379000_6479000,653.0,602.0,30,30,668,617
379000_6479000,721.0,551.0,30,30,736,566
379000_6479000,873.0,492.0,30,30,888,507
379000_6479000,493.0,259.0,30,30,508,274
379000_6479000,480.0,251.0,30,30,495,266
379000_6479000,510.0,222.0,30,30,525,237
379000_6479000,565.0,375.0,30,30,580,390
379000_6479000,277.0,375.0,30,30,292,390
379000_6479000,111.0,524.0,30,30,126,539
379000_6479000,315.0,698.0,30,30,330,713
379000_6479000,347.0,860.0,30,30,362,875
379000_6479000,302.0,914.0,30,30,317,929
379000_6479000,388.0,768.0,30,30,403,783
379000_6479000,230.0,418.0,30,30,245,433
379000_6479000,474.0,249.0,30,30,489,264
379000_6479000,330.0,876.0,30,30,345,891
379000_6479000,698.0,0.0,30,27.0,713,12
379000_6479000,815.0,864.0,30,30,830,879
379000_6479000,666.0,61.0,30,30,681,76
380000_6425000,917.0,49.0,30,30,932,64
380000_6457000,246.0,291.0,30,30,261,306
380000_6457000,214.0,398.0,30,30,229,413
380000_6457000,214.0,152.0,30,30,229,167
380000_6457000,142.0,440.0,30,30,157,455
380000_6457000,470.0,20.0,30,30,485,35
380000_6457000,292.0,313.0,30,30,307,328
380000_6457000,232.0,135.0,30,30,247,150
380000_6457000,236.0,519.0,30,30,251,534
380000_6457000,233.0,758.0,30,30,248,773
380000_6457000,579.0,454.0,30,30,594,469
380000_6457000,624.0,0.0,30,20.0,639,5
380000_6457000,130.0,809.0,30,30,145,824
380000_6464000,826.0,523.0,30,30,841,538
380000_6464000,77.0,674.0,30,30,92,689
380000_6465000,374.0,423.0,30,30,389,438
380000_6465000,203.0,63.0,30,30,218,78
380000_6465000,542.0,515.0,30,30,557,530
380000_6465000,674.0,653.0,30,30,689,668
380000_6465000,386.0,433.0,30,30,401,448
380000_6465000,230.0,308.0,30,30,245,323
380000_6465000,203.0,243.0,30,30,218,258
380000_6467000,124.0,559.0,30,30,139,574
380000_6467000,615.0,508.0,30,30,630,523
380000_6467000,665.0,653.0,30,30,680,668
380000_6467000,319.0,200.0,30,30,334,215
380000_6467000,651.0,231.0,30,30,666,246
380000_6467000,614.0,492.0,30,30,629,507
380000_6477000,855.0,921.0,30,30,870,936
380000_6477000,981.0,869.0,18.0,30,996,884
380000_6477000,735.0,912.0,30,30,750,927
380000_6477000,251.0,717.0,30,30,266,732
380000_6480000,23.0,296.0,30,30,38,311
380000_6480000,187.0,634.0,30,30,202,649
380000_6480000,144.0,657.0,30,30,159,672
380000_6480000,104.0,361.0,30,30,119,376
380000_6480000,167.0,297.0,30,30,182,312
380000_6480000,215.0,366.0,30,30,230,381
380000_6480000,133.0,247.0,30,30,148,262
380000_6480000,103.0,281.0,30,30,118,296
380000_6480000,120.0,199.0,30,30,135,214
380000_6480000,298.0,438.0,30,30,313,453
380000_6480000,294.0,439.0,30,30,309,454
380000_6480000,798.0,13.0,30,30,813,28
380000_6480000,201.0,261.0,30,30,216,276
380000_6480000,19.0,25.0,30,30,34,40
380000_6480000,0.0,153.0,30,30,15,168
380000_6480000,185.0,194.0,30,30,200,209
380000_6480000,148.0,271.0,30,30,163,286
380000_6480000,506.0,242.0,30,30,521,257
380000_6480000,28.0,30.0,30,30,43,45
380000_6480000,20.0,23.0,30,30,35,38
380000_6480000,0.0,0.0,18.0,28.0,3,13
380000_6480000,131.0,335.0,30,30,146,350
380000_6480000,74.0,317.0,30,30,89,332
380000_6480000,784.0,0.0,30,17.0,799,2
380000_6480000,584.0,167.0,30,30,599,182
380000_6480000,565.0,116.0,30,30,580,131
380000_6480000,914.0,0.0,30,29.0,929,14
380000_6480000,12.0,298.0,30,30,27,313
380000_6480000,432.0,371.0,30,30,447,386
380000_6480000,452.0,340.0,30,30,467,355
380000_6480000,696.0,1.0,30,30,711,16
380000_6480000,739.0,4.0,30,30,754,19
380000_6480000,958.0,115.0,30,30,973,130
380000_6480000,419.0,440.0,30,30,434,455
380000_6480000,418.0,533.0,30,30,433,548
380000_6480000,535.0,434.0,30,30,550,449
380000_6480000,625.0,8.0,30,30,640,23
380000_6480000,865.0,54.0,30,30,880,69
380000_6480000,531.0,177.0,30,30,546,192
380000_6480000,352.0,242.0,30,30,367,257
380000_6480000,374.0,271.0,30,30,389,286
380000_6480000,471.0,323.0,30,30,486,338
380000_6480000,467.0,356.0,30,30,482,371
380000_6480000,666.0,476.0,30,30,681,491
380000_6480000,456.0,268.0,30,30,471,283
380000_6480000,240.0,165.0,30,30,255,180
380000_6480000,956.0,600.0,30,30,971,615
380000_6483000,501.0,745.0,30,30,516,760
380000_6483000,693.0,179.0,30,30,708,194
380000_6483000,871.0,199.0,30,30,886,214
380000_6483000,124.0,92.0,30,30,139,107
380000_6483000,933.0,85.0,30,30,948,100
380000_6485000,177.0,0.0,30,23.0,192,8
380000_6485000,96.0,554.0,30,30,111,569
380000_6485000,70.0,534.0,30,30,85,549
381000_6427000,463.0,948.0,30,30,478,963
381000_6427000,463.0,960.0,30,30,478,975
381000_6427000,968.0,331.0,30,30,983,346
381000_6427000,959.0,339.0,30,30,974,354
381000_6427000,753.0,0.0,30,22.0,768,7
381000_6427000,793.0,71.0,30,30,808,86
381000_6427000,710.0,269.0,30,30,725,284
381000_6427000,971.0,879.0,28.0,30,986,894
381000_6427000,742.0,717.0,30,30,757,732
382000_6458000,601.0,348.0,30,30,616,363
382000_6458000,886.0,14.0,30,30,901,29
382000_6458000,386.0,644.0,30,30,401,659
382000_6458000,71.0,120.0,30,30,86,135
382000_6458000,856.0,40.0,30,30,871,55
382000_6458000,349.0,710.0,30,30,364,725
382000_6458000,87.0,127.0,30,30,102,142
382000_6458000,356.0,713.0,30,30,371,728
382000_6458000,404.0,932.0,30,30,419,947
382000_6458000,0.0,58.0,25.0,30,10,73
382000_6458000,627.0,855.0,30,30,642,870
382000_6458000,454.0,948.0,30,30,469,963
382000_6458000,634.0,869.0,30,30,649,884
382000_6468000,925.0,293.0,30,30,940,308
382000_6468000,950.0,295.0,30,30,965,310
382000_6468000,910.0,312.0,30,30,925,327
382000_6468000,746.0,423.0,30,30,761,438
382000_6468000,752.0,427.0,30,30,767,442
382000_6468000,878.0,522.0,30,30,893,537
382000_6468000,390.0,276.0,30,30,405,291
382000_6468000,829.0,983.0,30,16.0,844,998
382000_6468000,347.0,216.0,30,30,362,231
382000_6468000,912.0,900.0,30,30,927,915
382000_6468000,317.0,138.0,30,30,332,153
382000_6468000,297.0,80.0,30,30,312,95
382000_6468000,332.0,108.0,30,30,347,123
382000_6468000,291.0,32.0,30,30,306,47
382000_6468000,283.0,0.0,30,24.0,298,9
382000_6468000,277.0,0.0,30,18.0,292,3
382000_6476000,303.0,341.0,30,30,318,356
382000_6476000,139.0,84.0,30,30,154,99
382000_6476000,300.0,355.0,30,30,315,370
382000_6476000,294.0,393.0,30,30,309,408
382000_6476000,0.0,42.0,21.0,30,6,57
382000_6476000,935.0,558.0,30,30,950,573
382000_6476000,911.0,536.0,30,30,926,551
382000_6476000,278.0,349.0,30,30,293,364
382000_6476000,818.0,629.0,30,30,833,644
382000_6476000,296.0,453.0,30,30,311,468
382000_6476000,314.0,45.0,30,30,329,60
382000_6476000,333.0,139.0,30,30,348,154
382000_6476000,675.0,0.0,30,15.0,690,0
382000_6476000,544.0,694.0,30,30,559,709
382000_6476000,354.0,241.0,30,30,369,256
382000_6476000,309.0,144.0,30,30,324,159
382000_6476000,357.0,296.0,30,30,372,311
382000_6476000,437.0,752.0,30,30,452,767
382000_6476000,279.0,448.0,30,30,294,463
382000_6476000,41.0,953.0,30,30,56,968
382000_6476000,118.0,875.0,30,30,133,890
382000_6476000,237.0,608.0,30,30,252,623
382000_6476000,194.0,595.0,30,30,209,610
382000_6476000,239.0,546.0,30,30,254,561
382000_6476000,365.0,288.0,30,30,380,303
382000_6476000,544.0,162.0,30,30,559,177
382000_6476000,914.0,490.0,30,30,929,505
382000_6476000,364.0,284.0,30,30,379,299
382000_6476000,851.0,495.0,30,30,866,510
382000_6476000,582.0,166.0,30,30,597,181
382000_6476000,896.0,524.0,30,30,911,539
382000_6476000,588.0,160.0,30,30,603,175
382000_6476000,731.0,618.0,30,30,746,633
382000_6476000,195.0,110.0,30,30,210,125
383000_6430000,750.0,480.0,30,30,765,495
383000_6430000,734.0,478.0,30,30,749,493
383000_6430000,740.0,507.0,30,30,755,522
383000_6430000,125.0,29.0,30,30,140,44
383000_6430000,562.0,474.0,30,30,577,489
383000_6430000,503.0,351.0,30,30,518,366
383000_6430000,444.0,376.0,30,30,459,391
383000_6430000,465.0,370.0,30,30,480,385
383000_6430000,460.0,393.0,30,30,475,408
383000_6430000,803.0,594.0,30,30,818,609
383000_6430000,790.0,588.0,30,30,805,603
383000_6430000,271.0,188.0,30,30,286,203
383000_6430000,350.0,365.0,30,30,365,380
383000_6430000,507.0,434.0,30,30,522,449
383000_6430000,406.0,493.0,30,30,421,508
383000_6430000,363.0,456.0,30,30,378,471
383000_6430000,457.0,497.0,30,30,472,512
383000_6430000,345.0,506.0,30,30,360,521
383000_6430000,462.0,497.0,30,30,477,512
383000_6430000,453.0,564.0,30,30,468,579
383000_6430000,354.0,416.0,30,30,369,431
383000_6430000,698.0,544.0,30,30,713,559
383000_6430000,977.0,677.0,22.0,30,992,692
383000_6430000,859.0,643.0,30,30,874,658
383000_6430000,103.0,583.0,30,30,118,598
383000_6430000,305.0,520.0,30,30,320,535
383000_6463000,803.0,630.0,30,30,818,645
383000_6463000,785.0,371.0,30,30,800,386
383000_6463000,678.0,387.0,30,30,693,402
383000_6463000,350.0,813.0,30,30,365,828
383000_6463000,441.0,774.0,30,30,456,789
383000_6463000,320.0,831.0,30,30,335,846
383000_6463000,511.0,730.0,30,30,526,745
383000_6463000,466.0,810.0,30,30,481,825
383000_6463000,627.0,876.0,30,30,642,891
383000_6463000,744.0,678.0,30,30,759,693
383000_6463000,763.0,662.0,30,30,778,677
383000_6463000,781.0,647.0,30,30,796,662
383000_6463000,681.0,702.0,30,30,696,717
383000_6463000,597.0,708.0,30,30,612,723
383000_6463000,534.0,717.0,30,30,549,732
383000_6463000,616.0,465.0,30,30,631,480
383000_6463000,635.0,434.0,30,30,650,449
383000_6463000,585.0,592.0,30,30,600,607
383000_6463000,614.0,419.0,30,30,629,434
383000_6463000,941.0,51.0,30,30,956,66
383000_6463000,822.0,613.0,30,30,837,628
383000_6463000,811.0,66.0,30,30,826,81
383000_6463000,681.0,81.0,30,30,696,96
383000_6463000,622.0,109.0,30,30,637,124
383000_6477000,948.0,413.0,30,30,963,428
383000_6477000,808.0,433.0,30,30,823,448
383000_6477000,13.0,540.0,30,30,28,555
383000_6477000,803.0,404.0,30,30,818,419
383000_6477000,696.0,374.0,30,30,711,389
383000_6477000,957.0,412.0,30,30,972,427
383000_6477000,853.0,495.0,30,30,868,510
383000_6477000,730.0,841.0,30,30,745,856
383000_6487000,167.0,54.0,30,30,182,69
383000_6487000,254.0,134.0,30,30,269,149
384000_6427000,466.0,748.0,30,30,481,763
384000_6427000,18.0,545.0,30,30,33,560
384000_6427000,858.0,797.0,30,30,873,812
384000_6427000,812.0,816.0,30,30,827,831
384000_6427000,624.0,585.0,30,30,639,600
384000_6427000,553.0,700.0,30,30,568,715
384000_6427000,508.0,619.0,30,30,523,634
384000_6427000,294.0,504.0,30,30,309,519
384000_6427000,310.0,659.0,30,30,325,674
384000_6427000,362.0,787.0,30,30,377,802
384000_6427000,285.0,473.0,30,30,300,488
384000_6427000,744.0,712.0,30,30,759,727
384000_6427000,773.0,717.0,30,30,788,732
384000_6427000,929.0,115.0,30,30,944,130
384000_6427000,229.0,589.0,30,30,244,604
384000_6427000,251.0,609.0,30,30,266,624
384000_6427000,467.0,732.0,30,30,482,747
384000_6427000,44.0,636.0,30,30,59,651
384000_6427000,149.0,610.0,30,30,164,625
384000_6427000,223.0,548.0,30,30,238,563
384000_6427000,268.0,502.0,30,30,283,517
384000_6427000,194.0,586.0,30,30,209,601
384000_6427000,899.0,754.0,30,30,914,769
385000_6454000,574.0,0.0,30,19.0,589,4
385000_6454000,459.0,11.0,30,30,474,26
385000_6454000,59.0,752.0,30,30,74,767
385000_6454000,549.0,950.0,30,30,564,965
385000_6454000,835.0,975.0,30,24.0,850,990
385000_6454000,464.0,945.0,30,30,479,960
385000_6454000,181.0,838.0,30,30,196,853
385000_6454000,839.0,357.0,30,30,854,372
385000_6454000,639.0,523.0,30,30,654,538
385000_6462000,499.0,19.0,30,30,514,34
385000_6462000,501.0,101.0,30,30,516,116
385000_6462000,487.0,216.0,30,30,502,231
385000_6462000,476.0,368.0,30,30,491,383
385000_6462000,484.0,420.0,30,30,499,435
385000_6462000,378.0,479.0,30,30,393,494
385000_6462000,735.0,45.0,30,30,750,60
385000_6462000,624.0,18.0,30,30,639,33
385000_6462000,742.0,48.0,30,30,757,63
385000_6462000,464.0,276.0,30,30,479,291
385000_6462000,208.0,558.0,30,30,223,573
385000_6462000,468.0,316.0,30,30,483,331
385000_6471000,53.0,251.0,30,30,68,266
385000_6471000,61.0,244.0,30,30,76,259
385000_6471000,629.0,551.0,30,30,644,566
385000_6471000,933.0,710.0,30,30,948,725
385000_6471000,154.0,72.0,30,30,169,87
385000_6471000,260.0,34.0,30,30,275,49
385000_6471000,698.0,631.0,30,30,713,646
385000_6471000,690.0,596.0,30,30,705,611
385000_6471000,129.0,47.0,30,30,144,62
385000_6471000,427.0,549.0,30,30,442,564
385000_6471000,593.0,566.0,30,30,608,581
385000_6471000,476.0,930.0,30,30,491,945
385000_6471000,93.0,227.0,30,30,108,242
385000_6471000,259.0,30.0,30,30,274,45
385000_6471000,393.0,490.0,30,30,408,505
385000_6471000,343.0,390.0,30,30,358,405
385000_6471000,338.0,254.0,30,30,353,269
385000_6471000,49.0,235.0,30,30,64,250
385000_6471000,429.0,592.0,30,30,444,607
385000_6471000,809.0,481.0,30,30,824,496
385000_6471000,5.0,147.0,30,30,20,162
386000_6457000,973.0,64.0,26.0,30,988,79
386000_6457000,893.0,214.0,30,30,908,229
386000_6457000,888.0,350.0,30,30,903,365
386000_6457000,893.0,329.0,30,30,908,344
386000_6460000,751.0,829.0,30,30,766,844
386000_6461000,122.0,682.0,30,30,137,697
386000_6461000,231.0,260.0,30,30,246,275
386000_6461000,626.0,203.0,30,30,641,218
386000_6461000,975.0,114.0,24.0,30,990,129
386000_6461000,617.0,213.0,30,30,632,228
386000_6461000,564.0,260.0,30,30,579,275
386000_6461000,173.0,301.0,30,30,188,316
386000_6461000,0.0,654.0,17.0,30,2,669
386000_6461000,507.0,14.0,30,30,522,29
386000_6461000,3.0,418.0,30,30,18,433
386000_6468000,793.0,881.0,30,30,808,896
386000_6468000,640.0,107.0,30,30,655,122
386000_6468000,667.0,142.0,30,30,682,157
386000_6468000,613.0,72.0,30,30,628,87
386000_6468000,70.0,316.0,30,30,85,331
386000_6468000,145.0,490.0,30,30,160,505
386000_6468000,32.0,354.0,30,30,47,369
386000_6468000,285.0,802.0,30,30,300,817
386000_6473000,974.0,732.0,25.0,30,989,747
386000_6477000,38.0,55.0,30,30,53,70
386000_6477000,797.0,215.0,30,30,812,230
386000_6480000,0.0,320.0,25.0,30,10,335
386000_6480000,309.0,151.0,30,30,324,166
387000_6450000,751.0,810.0,30,30,766,825
387000_6450000,887.0,737.0,30,30,902,752
387000_6450000,894.0,766.0,30,30,909,781
387000_6450000,829.0,750.0,30,30,844,765
387000_6450000,716.0,580.0,30,30,731,595
387000_6450000,876.0,672.0,30,30,891,687
387000_6450000,725.0,897.0,30,30,740,912
387000_6450000,699.0,857.0,30,30,714,872
387000_6450000,880.0,711.0,30,30,895,726
387000_6450000,671.0,890.0,30,30,686,905
387000_6450000,704.0,851.0,30,30,719,866
387000_6450000,934.0,677.0,30,30,949,692
387000_6450000,583.0,770.0,30,30,598,785
387000_6456000,38.0,891.0,30,30,53,906
387000_6456000,134.0,595.0,30,30,149,610
387000_6456000,118.0,72.0,30,30,133,87
387000_6456000,533.0,319.0,30,30,548,334
387000_6456000,528.0,298.0,30,30,543,313
387000_6456000,590.0,410.0,30,30,605,425
387000_6456000,767.0,587.0,30,30,782,602
387000_6456000,534.0,223.0,30,30,549,238
387000_6456000,319.0,76.0,30,30,334,91
387000_6456000,296.0,182.0,30,30,311,197
387000_6456000,214.0,172.0,30,30,229,187
387000_6456000,714.0,540.0,30,30,729,555
387000_6456000,918.0,260.0,30,30,933,275
387000_6456000,942.0,239.0,30,30,957,254
387000_6456000,526.0,279.0,30,30,541,294
387000_6458000,944.0,598.0,30,30,959,613
387000_6458000,948.0,541.0,30,30,963,556
387000_6458000,950.0,589.0,30,30,965,604
387000_6458000,571.0,951.0,30,30,586,966
387000_6458000,957.0,529.0,30,30,972,544
387000_6465000,889.0,978.0,30,21.0,904,993
387000_6465000,822.0,984.0,30,15.0,837,999
388000_6425000,764.0,207.0,30,30,779,222
388000_6425000,176.0,378.0,30,30,191,393
388000_6425000,162.0,249.0,30,30,177,264
388000_6425000,878.0,445.0,30,30,893,460
388000_6425000,577.0,29.0,30,30,592,44
388000_6425000,160.0,242.0,30,30,175,257
388000_6425000,944.0,615.0,30,30,959,630
388000_6425000,903.0,723.0,30,30,918,738
388000_6425000,784.0,230.0,30,30,799,245
388000_6425000,774.0,219.0,30,30,789,234
388000_6425000,561.0,120.0,30,30,576,135
388000_6425000,808.0,710.0,30,30,823,725
388000_6425000,614.0,773.0,30,30,629,788
388000_6425000,895.0,726.0,30,30,910,741
388000_6425000,636.0,808.0,30,30,651,823
388000_6475000,735.0,163.0,30,30,750,178
388000_6475000,713.0,169.0,30,30,728,184
388000_6475000,747.0,195.0,30,30,762,210
388000_6476000,857.0,516.0,30,30,872,531
388000_6476000,854.0,445.0,30,30,869,460
388000_6476000,91.0,620.0,30,30,106,635
388000_6476000,106.0,655.0,30,30,121,670
388000_6476000,692.0,440.0,30,30,707,455
388000_6476000,691.0,513.0,30,30,706,528
388000_6476000,576.0,520.0,30,30,591,535
388000_6476000,499.0,530.0,30,30,514,545
388000_6476000,503.0,570.0,30,30,518,585
388000_6476000,111.0,694.0,30,30,126,709
388000_6476000,772.0,441.0,30,30,787,456
388000_6532000,5.0,962.0,30,30,20,977
388000_6532000,11.0,950.0,30,30,26,965
388000_6532000,805.0,798.0,30,30,820,813
388000_6532000,688.0,921.0,30,30,703,936
388000_6532000,495.0,901.0,30,30,510,916
388000_6532000,522.0,975.0,30,24.0,537,990
388000_6532000,695.0,813.0,30,30,710,828
388000_6532000,944.0,761.0,30,30,959,776
388000_6532000,540.0,971.0,30,28.0,555,986
388000_6532000,868.0,983.0,30,16.0,883,998
388000_6532000,612.0,846.0,30,30,627,861
389000_6427000,516.0,591.0,30,30,531,606
389000_6427000,392.0,593.0,30,30,407,608
389000_6427000,625.0,81.0,30,30,640,96
389000_6427000,960.0,370.0,30,30,975,385
389000_6427000,646.0,640.0,30,30,661,655
389000_6427000,594.0,635.0,30,30,609,650
389000_6427000,466.0,401.0,30,30,481,416
389000_6427000,505.0,313.0,30,30,520,328
389000_6427000,957.0,367.0,30,30,972,382
389000_6427000,527.0,259.0,30,30,542,274
389000_6427000,488.0,352.0,30,30,503,367
389000_6427000,650.0,648.0,30,30,665,663
389000_6427000,623.0,693.0,30,30,638,708
389000_6428000,947.0,225.0,30,30,962,240
389000_6428000,106.0,320.0,30,30,121,335
389000_6428000,767.0,71.0,30,30,782,86
389000_6428000,103.0,323.0,30,30,118,338
389000_6428000,862.0,123.0,30,30,877,138
389000_6428000,958.0,209.0,30,30,973,224
389000_6455000,67.0,442.0,30,30,82,457
389000_6455000,124.0,353.0,30,30,139,368
389000_6455000,99.0,212.0,30,30,114,227
389000_6455000,62.0,76.0,30,30,77,91
389000_6455000,654.0,551.0,30,30,669,566
389000_6455000,603.0,526.0,30,30,618,541
389000_6455000,394.0,969.0,30,30,409,984
389000_6455000,198.0,360.0,30,30,213,375
389000_6455000,148.0,315.0,30,30,163,330
389000_6467000,648.0,955.0,30,30,663,970
389000_6467000,656.0,943.0,30,30,671,958
389000_6467000,962.0,222.0,30,30,977,237
389000_6468000,701.0,848.0,30,30,716,863
389000_6468000,132.0,422.0,30,30,147,437
389000_6468000,649.0,827.0,30,30,664,842
389000_6468000,269.0,393.0,30,30,284,408
389000_6468000,274.0,369.0,30,30,289,384
389000_6468000,68.0,281.0,30,30,83,296
389000_6468000,277.0,745.0,30,30,292,760
389000_6468000,838.0,909.0,30,30,853,924
389000_6468000,832.0,925.0,30,30,847,940
389000_6468000,780.0,886.0,30,30,795,901
389000_6473000,788.0,352.0,30,30,803,367
389000_6473000,831.0,335.0,30,30,846,350
389000_6473000,380.0,36.0,30,30,395,51
389000_6473000,509.0,151.0,30,30,524,166
389000_6473000,370.0,48.0,30,30,385,63
389000_6473000,544.0,341.0,30,30,559,356
389000_6476000,417.0,518.0,30,30,432,533
389000_6476000,694.0,909.0,30,30,709,924
389000_6476000,708.0,895.0,30,30,723,910
389000_6476000,570.0,694.0,30,30,585,709
389000_6476000,749.0,766.0,30,30,764,781
389000_6476000,625.0,661.0,30,30,640,676
389000_6476000,984.0,866.0,15.0,30,999,881
389000_6480000,890.0,431.0,30,30,905,446
389000_6480000,977.0,362.0,22.0,30,992,377
389000_6480000,962.0,814.0,30,30,977,829
389000_6480000,966.0,981.0,30,18.0,981,996
389000_6480000,943.0,555.0,30,30,958,570
389000_6480000,917.0,814.0,30,30,932,829
389000_6480000,913.0,978.0,30,21.0,928,993
389000_6534000,475.0,475.0,30,30,490,490
389000_6534000,958.0,481.0,30,30,973,496
389000_6534000,807.0,904.0,30,30,822,919
390000_6437000,82.0,377.0,30,30,97,392
390000_6437000,549.0,160.0,30,30,564,175
